League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,Goals,Assists,Sot%,SoT/90,xG,keyPasses,FinalThirdPasses,PrgP
ITA-Serie A,Lecce,Jesper Karlsson,SWE,26-298,12,437,1,0,44.4,0.82,1.5,2.0,2.0,6.0
ITA-Serie A,Lecce,Jesper Karlsson,SWE,26-298,12,437,1,0,44.4,0.82,1.5,6.0,6.0,12.0
ITA-Serie A,Lecce,Nikola Krstović,MNE,25-044,36,2970,11,4,27.8,1.12,12.0,29.0,38.0,55.0
ITA-Serie A,Lecce,Rareș-Cătălin Burnete,ROU,21-108,3,25,0,0,0.0,0.0,0.1,0.0,0.0,0.0
ITA-Serie A,Lecce,Santiago Pierotti,ARG,24-046,35,1893,4,2,21.9,0.33,3.1,25.0,27.0,37.0
ITA-Serie A,Milan,Noah Okafor,SUI,24-360,11,414,1,0,53.8,1.52,1.5,4.0,4.0,12.0
ITA-Serie A,Milan,Noah Okafor,SUI,24-360,11,414,1,0,53.8,1.52,1.5,3.0,2.0,1.0
ITA-Serie A,Milan,Noah Okafor,SUI,24-360,4,40,0,0,53.8,1.52,1.5,4.0,4.0,12.0
ITA-Serie A,Milan,Noah Okafor,SUI,24-360,4,40,0,0,53.8,1.52,1.5,3.0,2.0,1.0
ITA-Serie A,Milan,Rafael Leão,POR,25-343,34,2323,8,8,43.9,1.12,7.6,58.0,37.0,93.0
ITA-Serie A,Milan,Santiago Giménez,MEX,24-031,14,669,5,2,40.9,1.21,4.8,6.0,5.0,6.0
ITA-Serie A,Milan,Tammy Abraham,ENG,27-229,28,1183,3,4,42.3,0.84,7.1,14.0,13.0,26.0
ITA-Serie A,Milan,Tammy Abraham,ENG,27-229,28,1183,3,4,42.3,0.84,7.1,0.0,1.0,1.0
ITA-Serie A,Milan,Tammy Abraham,ENG,27-229,1,1,0,0,42.3,0.84,7.1,14.0,13.0,26.0
ITA-Serie A,Milan,Tammy Abraham,ENG,27-229,1,1,0,0,42.3,0.84,7.1,0.0,1.0,1.0
ITA-Serie A,Monza,Andrea Petagna,ITA,29-323,12,323,0,0,0.0,0.0,0.2,1.0,2.0,1.0
ITA-Serie A,Monza,Keita Baldé,SEN,30-072,10,560,2,0,33.3,0.64,1.0,4.0,18.0,29.0
ITA-Serie A,Monza,Milan Đurić,BIH,34-362,18,1270,4,1,43.5,0.71,2.9,5.0,16.0,21.0
ITA-Serie A,Monza,Milan Đurić,BIH,34-362,18,1270,4,1,43.5,0.71,2.9,0.0,3.0,7.0
ITA-Serie A,Monza,Milan Đurić,BIH,34-362,9,268,1,0,43.5,0.71,2.9,5.0,16.0,21.0
ITA-Serie A,Monza,Milan Đurić,BIH,34-362,9,268,1,0,43.5,0.71,2.9,0.0,3.0,7.0
ITA-Serie A,Monza,Silvère Ganvoula M'Boussy,CGO,28-331,7,326,0,0,25.0,0.28,0.4,1.0,3.0,4.0
ITA-Serie A,Napoli,Cyril Ngonge,BEL,24-358,17,210,0,0,46.2,2.57,0.7,3.0,5.0,7.0
ITA-Serie A,Napoli,David Neres,BRA,28-077,27,1253,2,4,22.2,0.43,2.0,26.0,23.0,31.0
ITA-Serie A,Napoli,Giovanni Simeone,ARG,29-318,29,404,1,1,23.1,0.67,2.6,7.0,4.0,6.0
ITA-Serie A,Napoli,Romelu Lukaku,BEL,32-006,35,2768,13,10,33.3,0.62,12.5,34.0,15.0,35.0
ITA-Serie A,Parma,Ange-Yoan Bonny,FRA,21-206,36,2442,6,3,29.3,0.63,9.1,27.0,29.0,50.0
ITA-Serie A,Parma,Gabriel Charpentier,CGO,26-002,10,271,1,2,44.4,1.33,1.3,7.0,3.0,7.0
ITA-Serie A,Parma,Mateo Pellegrino,ARG,24-079,12,647,3,1,42.1,1.11,2.5,4.0,6.0,7.0
ITA-Serie A,Parma,Milan Đurić,BIH,34-362,18,1270,4,1,20.0,0.34,0.3,5.0,16.0,21.0
ITA-Serie A,Parma,Milan Đurić,BIH,34-362,18,1270,4,1,20.0,0.34,0.3,0.0,3.0,7.0
ITA-Serie A,Parma,Milan Đurić,BIH,34-362,9,268,1,0,20.0,0.34,0.3,5.0,16.0,21.0
ITA-Serie A,Parma,Milan Đurić,BIH,34-362,9,268,1,0,20.0,0.34,0.3,0.0,3.0,7.0
ITA-Serie A,Roma,Artem Dovbyk,UKR,27-332,32,2418,12,2,41.0,0.93,11.9,25.0,17.0,16.0
ITA-Serie A,Torino,Antonio Sanabria,PAR,29-076,26,1318,2,1,22.2,0.27,2.9,9.0,13.0,18.0
ITA-Serie A,Torino,Che Adams,SCO,28-310,35,2562,9,3,38.3,0.81,8.9,25.0,32.0,39.0
ITA-Serie A,Torino,Duván Zapata,COL,34-048,7,587,3,0,38.1,1.23,3.4,9.0,4.0,7.0
ITA-Serie A,Udinese,Alexis Sánchez,CHI,36-151,12,386,0,0,0.0,0.0,0.7,2.0,11.0,17.0
ITA-Serie A,Udinese,Keinan Davis,ENG,27-095,22,1053,2,1,39.3,0.94,2.7,20.0,13.0,22.0
ITA-Serie A,Udinese,Lorenzo Lucca,ITA,24-251,32,2276,11,1,39.3,0.95,7.4,14.0,17.0,17.0
ITA-Serie A,Venezia,Christian Gytkjær,DEN,35-013,28,731,2,1,26.7,0.49,2.6,7.0,5.0,5.0
ITA-Serie A,Venezia,Daniel Fila,CZE,22-271,9,425,1,0,57.1,0.85,1.1,6.0,4.0,8.0
ITA-Serie A,Venezia,Joel Pohjanpalo,FIN,30-248,20,1603,6,0,38.2,0.73,7.5,15.0,25.0,29.0
ITA-Serie A,Venezia,Mirko Marić,CRO,30-003,8,106,0,0,0.0,0.0,0.6,1.0,1.0,3.0
ITA-Serie A,Venezia,Mirko Marić,CRO,30-003,8,106,0,0,0.0,0.0,0.6,2.0,9.0,8.0
ITA-Serie A,Venezia,Mirko Marić,CRO,30-003,9,351,0,0,0.0,0.0,0.6,1.0,1.0,3.0
ITA-Serie A,Venezia,Mirko Marić,CRO,30-003,9,351,0,0,0.0,0.0,0.6,2.0,9.0,8.0
