League,Team,Player,Nation,pos_nan_nan,Age,MatchesPlayed,MinutesPlayed,Goals,Assists,Sot%,SoT/90,xG,keyPasses,FinalThirdPasses,PrgP,TklW,Tkl%,BloackPass,Interception
ENG-Premier League,Arsenal,Ben White,ENG,DF,27-223,16,1108,0,1,22.2,0.16,0.5,8.0,48.0,51.0,12,45.5,2,16.0
ENG-Premier League,Arsenal,Bukayo Saka,ENG,"FW,MF",23-256,24,1701,6,10,34.4,1.16,6.8,56.0,15.0,67.0,15,52.2,22,3.0
ENG-Premier League,Arsenal,Declan Rice,ENG,MF,26-125,34,2735,4,7,28.3,0.43,3.4,56.0,128.0,183.0,25,43.6,13,25.0
ENG-Premier League,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18-059,25,821,4,2,36.4,0.88,1.1,12.0,16.0,30.0,7,38.9,6,2.0
ENG-Premier League,Arsenal,Gabriel Jesus,BRA,FW,28-046,17,608,3,0,35.0,1.04,3.0,8.0,10.0,19.0,6,44.4,9,4.0
ENG-Premier League,Arsenal,Gabriel Magalhães,BRA,DF,27-151,28,2363,3,1,22.7,0.19,2.6,13.0,145.0,126.0,15,75.0,13,16.0
ENG-Premier League,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-335,32,2221,8,4,43.1,0.89,6.5,37.0,11.0,49.0,15,30.4,14,5.0
ENG-Premier League,Arsenal,Jakub Kiwior,POL,DF,25-093,16,1032,1,0,33.3,0.09,0.2,5.0,56.0,44.0,8,78.6,4,6.0
ENG-Premier League,Arsenal,Jorginho,ITA,MF,33-150,15,704,0,0,0.0,0.0,0.1,3.0,44.0,48.0,4,40.0,3,7.0
ENG-Premier League,Arsenal,Jurriën Timber,NED,DF,23-336,30,2417,1,3,28.6,0.15,1.2,17.0,107.0,146.0,38,66.7,15,22.0
ENG-Premier League,Arsenal,Kai Havertz,GER,"FW,MF",25-342,22,1854,9,3,40.4,1.02,9.4,16.0,27.0,60.0,9,26.7,19,6.0
ENG-Premier League,Arsenal,Kieran Tierney,SCO,"DF,FW",27-348,12,197,0,0,0.0,0.0,0.2,7.0,7.0,12.0,5,66.7,0,2.0
ENG-Premier League,Arsenal,Leandro Trossard,BEL,FW,30-166,37,2518,8,6,29.6,0.75,7.1,40.0,45.0,101.0,20,35.3,32,9.0
ENG-Premier League,Arsenal,Martin Ødegaard,NOR,MF,26-153,29,2309,2,8,29.8,0.55,4.7,63.0,130.0,255.0,11,16.7,5,6.0
ENG-Premier League,Arsenal,Mikel Merino,ESP,"MF,FW",28-331,27,1496,7,2,37.1,0.78,5.6,16.0,37.0,67.0,26,54.5,13,15.0
ENG-Premier League,Arsenal,Myles Lewis-Skelly,ENG,DF,18-235,22,1348,1,0,33.3,0.07,0.2,8.0,64.0,69.0,14,90.9,2,7.0
ENG-Premier League,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-155,14,458,0,1,0.0,0.0,0.3,2.0,26.0,37.0,1,28.6,5,4.0
ENG-Premier League,Arsenal,Raheem Sterling,ENG,"FW,MF",30-162,16,437,0,2,0.0,0.0,1.3,8.0,4.0,17.0,4,50.0,3,1.0
ENG-Premier League,Arsenal,Riccardo Calafiori,ITA,DF,23-000,19,983,2,1,60.0,0.55,0.9,6.0,41.0,54.0,19,62.1,6,9.0
ENG-Premier League,Arsenal,Thomas Partey,GHA,"MF,DF",31-340,34,2707,4,2,32.0,0.27,2.3,19.0,156.0,176.0,53,60.8,20,35.0
ENG-Premier League,Arsenal,William Saliba,FRA,DF,24-056,35,3039,2,0,33.3,0.06,2.3,7.0,180.0,138.0,37,75.0,10,21.0
ENG-Premier League,Aston Villa,Amadou Onana,BEL,MF,23-276,25,1555,3,0,35.3,0.35,2.1,9.0,66.0,72.0,28,53.6,8,26.0
ENG-Premier League,Aston Villa,Andrés García,ESP,"DF,MF",22-101,7,318,0,0,0.0,0.0,0.0,3.0,9.0,15.0,5,50.0,2,2.0
ENG-Premier League,Aston Villa,Boubacar Kamara,FRA,MF,25-177,25,1643,1,0,30.0,0.16,0.8,11.0,89.0,84.0,21,51.8,11,19.0
ENG-Premier League,Aston Villa,Diego Carlos,BRA,DF,32-065,10,830,0,0,25.0,0.11,0.6,0.0,23.0,34.0,3,66.7,6,5.0
ENG-Premier League,Aston Villa,Ezri Konsa,ENG,DF,27-208,33,2846,2,0,45.5,0.16,1.3,6.0,106.0,90.0,18,80.0,8,22.0
ENG-Premier League,Aston Villa,Ian Maatsen,NED,DF,23-070,28,1049,1,2,26.3,0.43,0.9,19.0,21.0,48.0,17,70.8,13,15.0
ENG-Premier League,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-356,28,1595,1,3,21.1,0.23,1.6,21.0,31.0,68.0,15,50.0,19,8.0
ENG-Premier League,Aston Villa,John McGinn,SCO,"MF,FW",30-213,33,2162,1,4,17.2,0.21,3.0,31.0,70.0,103.0,24,41.9,20,14.0
ENG-Premier League,Aston Villa,Jáder Durán,COL,FW,21-157,20,638,7,0,48.4,2.12,4.9,4.0,10.0,13.0,7,25.0,5,0.0
ENG-Premier League,Aston Villa,Lamare Bogarde,NED,"DF,MF",21-134,8,476,0,0,100.0,0.19,0.0,2.0,24.0,14.0,6,62.5,2,1.0
ENG-Premier League,Aston Villa,Leon Bailey,JAM,"FW,MF",27-283,24,1139,1,2,21.4,0.47,1.7,16.0,16.0,35.0,5,27.3,6,3.0
ENG-Premier League,Aston Villa,Lucas Digne,FRA,DF,31-303,32,2351,0,4,23.1,0.11,0.8,36.0,44.0,57.0,38,66.7,19,25.0
ENG-Premier League,Aston Villa,Matty Cash,POL,DF,27-285,26,1980,1,1,41.7,0.23,0.4,10.0,38.0,41.0,30,69.2,13,22.0
ENG-Premier League,Aston Villa,Morgan Rogers,ENG,"FW,MF",22-297,36,3031,8,10,36.4,0.59,6.6,51.0,73.0,122.0,22,50.0,19,5.0
ENG-Premier League,Aston Villa,Ollie Watkins,ENG,FW,29-140,37,2508,16,8,43.9,1.29,15.3,24.0,12.0,29.0,7,27.3,8,8.0
ENG-Premier League,Aston Villa,Pau Torres,ESP,DF,28-123,23,1930,0,0,25.0,0.09,0.5,3.0,110.0,96.0,15,58.8,4,9.0
ENG-Premier League,Aston Villa,Ross Barkley,ENG,MF,31-165,19,574,3,1,33.3,0.78,1.7,9.0,30.0,33.0,3,64.3,6,10.0
ENG-Premier League,Aston Villa,Tyrone Mings,ENG,DF,32-067,14,1120,0,0,11.1,0.08,0.8,3.0,48.0,40.0,6,100.0,2,7.0
ENG-Premier League,Aston Villa,Youri Tielemans,BEL,MF,28-012,35,2997,3,7,31.6,0.36,3.1,59.0,228.0,234.0,57,54.8,21,22.0
ENG-Premier League,Bournemouth,Adam Smith,ENG,DF,34-020,23,1478,0,0,0.0,0.0,0.7,7.0,45.0,43.0,10,48.0,7,14.0
ENG-Premier League,Bournemouth,Alex Scott,ENG,MF,21-271,19,754,0,0,35.7,0.6,0.7,12.0,41.0,52.0,14,45.2,13,10.0
ENG-Premier League,Bournemouth,Antoine Semenyo,GHA,FW,25-132,35,3023,9,5,31.7,1.13,9.5,46.0,48.0,107.0,34,38.1,53,10.0
ENG-Premier League,Bournemouth,Dango Ouattara,BFA,FW,23-097,32,2005,7,4,32.3,0.9,8.4,35.0,21.0,43.0,26,41.5,26,11.0
ENG-Premier League,Bournemouth,Daniel Jebbison,ENG,FW,21-279,14,83,0,0,33.3,1.08,0.7,3.0,1.0,3.0,2,60.0,1,1.0
ENG-Premier League,Bournemouth,David Brooks,WAL,"FW,MF",27-315,27,853,2,0,45.5,1.06,2.2,18.0,19.0,34.0,5,7.1,14,5.0
ENG-Premier League,Bournemouth,Dean Huijsen,ESP,DF,20-035,30,2324,3,1,16.7,0.12,1.9,14.0,168.0,128.0,26,64.3,8,50.0
ENG-Premier League,Bournemouth,Enes Ünal,TUR,"FW,MF",28-009,17,345,2,1,35.0,1.83,2.7,4.0,4.0,12.0,0,0.0,1,0.0
ENG-Premier League,Bournemouth,Evanilson,BRA,FW,25-225,29,2148,10,1,45.6,1.3,11.7,23.0,14.0,25.0,10,66.7,9,0.0
ENG-Premier League,Bournemouth,Illia Zabarnyi,UKR,DF,22-260,34,2929,0,0,9.1,0.03,1.1,11.0,139.0,129.0,33,68.1,13,39.0
ENG-Premier League,Bournemouth,James Hill,ENG,DF,23-129,10,448,0,1,0.0,0.0,0.3,3.0,20.0,16.0,8,27.3,5,9.0
ENG-Premier League,Bournemouth,Justin Kluivert,NED,"MF,FW",26-014,32,2206,12,6,41.5,0.9,10.0,45.0,41.0,100.0,9,19.0,24,13.0
ENG-Premier League,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-228,29,2610,0,0,0.0,0.0,0.1,1.0,10.0,2.0,0,0.0,1,0.0
ENG-Premier League,Bournemouth,Lewis Cook,ENG,"MF,DF",28-105,35,2906,1,3,28.6,0.12,0.9,48.0,153.0,155.0,42,55.2,19,40.0
ENG-Premier League,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-336,12,236,1,1,46.2,2.29,1.2,9.0,6.0,6.0,2,0.0,3,1.0
ENG-Premier League,Bournemouth,Marcos Senesi,ARG,DF,28-009,16,1029,0,0,0.0,0.0,0.8,3.0,75.0,54.0,21,46.7,8,11.0
ENG-Premier League,Bournemouth,Marcus Tavernier,ENG,"FW,MF",26-058,27,1760,3,5,29.4,0.77,5.3,37.0,68.0,109.0,24,38.5,13,5.0
ENG-Premier League,Bournemouth,Milos Kerkez,HUN,DF,21-193,36,3164,2,5,27.8,0.14,0.5,33.0,82.0,150.0,26,63.2,25,44.0
ENG-Premier League,Bournemouth,Ryan Christie,SCO,MF,30-086,29,2117,2,3,36.4,0.51,1.8,41.0,118.0,137.0,33,42.2,33,30.0
ENG-Premier League,Bournemouth,Tyler Adams,USA,MF,26-094,26,1785,0,3,25.0,0.1,1.6,17.0,63.0,69.0,48,52.9,23,32.0
ENG-Premier League,Brentford,Bryan Mbeumo,CMR,FW,25-285,37,3324,19,7,42.9,0.89,12.0,68.0,63.0,138.0,29,56.3,21,14.0
ENG-Premier League,Brentford,Christian Nørgaard,DEN,MF,31-070,33,2729,5,3,35.1,0.43,4.2,17.0,134.0,146.0,46,60.8,32,48.0
ENG-Premier League,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",24-011,8,119,0,0,0.0,0.0,0.1,1.0,2.0,13.0,1,33.3,0,1.0
ENG-Premier League,Brentford,Ethan Pinnock,JAM,DF,31-355,22,1913,2,0,60.0,0.28,1.1,8.0,48.0,41.0,19,54.2,11,24.0
ENG-Premier League,Brentford,Fabio Carvalho,POR,"FW,MF",22-262,19,455,2,1,41.7,0.99,2.5,4.0,11.0,17.0,9,46.2,5,3.0
ENG-Premier League,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24-086,37,3003,1,3,51.9,0.42,2.6,25.0,63.0,93.0,26,60.9,17,19.0
ENG-Premier League,Brentford,Kevin Schade,GER,FW,23-173,37,2214,11,2,47.2,1.02,8.1,22.0,31.0,36.0,23,57.1,15,5.0
ENG-Premier League,Brentford,Kristoffer Ajer,NOR,DF,27-032,23,1433,0,0,37.5,0.19,0.8,8.0,43.0,55.0,18,51.9,13,12.0
ENG-Premier League,Brentford,Mads Roerslev,DEN,DF,25-329,7,298,0,0,40.0,0.16,0.2,1.0,11.0,13.0,9,66.7,0,5.0
ENG-Premier League,Brentford,Mathias Jensen,DEN,MF,29-138,23,851,0,2,16.7,0.11,0.2,16.0,41.0,60.0,10,50.0,9,8.0
ENG-Premier League,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-320,37,2832,2,10,20.0,0.22,2.8,62.0,166.0,228.0,44,39.0,37,26.0
ENG-Premier League,Brentford,Nathan Collins,IRL,DF,24-019,37,3330,2,3,35.3,0.16,2.5,10.0,111.0,126.0,23,62.9,20,34.0
ENG-Premier League,Brentford,Sepp van den Berg,NED,DF,23-150,30,2496,0,0,26.3,0.18,1.9,6.0,62.0,78.0,23,66.7,14,21.0
ENG-Premier League,Brentford,Thiago,BRA,"FW,MF",23-327,7,164,0,0,0.0,0.0,0.1,2.0,2.0,4.0,3,0.0,3,2.0
ENG-Premier League,Brentford,Vitaly Janelt,GER,MF,27-009,32,2254,1,3,28.6,0.16,0.8,14.0,78.0,80.0,22,58.3,24,27.0
ENG-Premier League,Brentford,Yehor Yarmoliuk,UKR,MF,21-079,30,1360,0,0,22.2,0.13,0.6,9.0,64.0,58.0,26,52.9,17,13.0
ENG-Premier League,Brentford,Yoane Wissa,COD,FW,28-258,34,2829,19,4,46.0,1.27,18.3,25.0,43.0,64.0,12,40.7,21,8.0
ENG-Premier League,Brentford,Yunus Emre Konak,TUR,"FW,MF",19-129,10,42,0,0,0.0,0.0,0.2,0.0,2.0,2.0,4,50.0,2,0.0
ENG-Premier League,Brighton,Adam Webster,ENG,DF,30-135,12,707,0,0,100.0,0.13,0.0,3.0,35.0,41.0,6,41.7,3,18.0
ENG-Premier League,Brighton,Brajan Gruda,GER,"MF,FW",20-353,19,540,1,3,50.0,0.5,1.0,15.0,8.0,17.0,6,50.0,8,2.0
ENG-Premier League,Brighton,Carlos Baleba,CMR,MF,21-136,32,2481,3,1,26.8,0.4,3.0,20.0,105.0,114.0,42,60.5,34,43.0
ENG-Premier League,Brighton,Danny Welbeck,ENG,FW,34-174,29,2032,10,4,37.7,0.89,8.9,20.0,17.0,45.0,15,36.8,15,5.0
ENG-Premier League,Brighton,Diego Gómez,PAR,MF,22-053,14,453,0,0,0.0,0.0,0.7,5.0,13.0,22.0,10,47.4,12,7.0
ENG-Premier League,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-224,6,385,1,0,25.0,0.23,0.4,5.0,10.0,15.0,6,40.0,0,8.0
ENG-Premier League,Brighton,Georginio Rutter,FRA,"MF,FW",23-029,28,1656,5,3,24.0,0.65,4.6,19.0,30.0,67.0,15,38.9,17,10.0
ENG-Premier League,Brighton,Igor,BRA,DF,27-101,12,903,0,0,0.0,0.0,0.0,1.0,35.0,44.0,4,40.0,9,4.0
ENG-Premier League,Brighton,Jack Hinshelwood,ENG,"DF,MF",20-038,24,1745,2,2,42.9,0.31,1.5,15.0,33.0,63.0,18,40.7,5,15.0
ENG-Premier League,Brighton,James Milner,ENG,MF,39-135,3,169,0,0,0.0,0.0,0.2,4.0,3.0,10.0,2,100.0,2,2.0
ENG-Premier League,Brighton,Jan Paul van Hecke,NED,DF,24-345,32,2778,1,1,31.3,0.16,1.3,13.0,209.0,217.0,27,53.8,14,23.0
ENG-Premier League,Brighton,João Pedro,BRA,"FW,MF",23-235,27,1948,10,6,35.7,0.69,8.9,30.0,42.0,78.0,12,36.4,12,9.0
ENG-Premier League,Brighton,Joël Veltman,NED,DF,33-124,20,1665,0,0,16.7,0.05,0.5,6.0,62.0,80.0,28,58.8,15,18.0
ENG-Premier League,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-364,34,2532,9,3,46.3,0.89,8.8,35.0,36.0,82.0,26,39.6,45,13.0
ENG-Premier League,Brighton,Lewis Dunk,ENG,DF,33-179,25,2083,0,0,25.0,0.13,0.8,6.0,157.0,142.0,10,57.9,10,13.0
ENG-Premier League,Brighton,Mats Wieffer,NED,"MF,DF",25-184,23,835,1,3,50.0,0.43,0.7,13.0,46.0,55.0,27,68.4,14,14.0
ENG-Premier League,Brighton,Matt O'Riley,DEN,MF,24-179,19,905,1,1,28.6,0.6,2.0,19.0,30.0,36.0,9,30.8,4,13.0
ENG-Premier League,Brighton,Pervis Estupiñán,ECU,DF,27-118,29,2312,1,1,30.4,0.27,1.1,24.0,99.0,121.0,40,68.1,14,36.0
ENG-Premier League,Brighton,Simon Adingra,CIV,"FW,MF",23-138,27,988,2,2,26.9,0.64,2.2,14.0,5.0,15.0,14,41.7,12,8.0
ENG-Premier League,Brighton,Solly March,ENG,"FW,MF",30-303,8,168,0,0,0.0,0.0,0.1,3.0,2.0,2.0,3,62.5,3,2.0
ENG-Premier League,Brighton,Tariq Lamptey,GHA,DF,24-231,15,860,2,2,33.3,0.21,0.4,5.0,12.0,14.0,11,36.0,8,7.0
ENG-Premier League,Brighton,Yankuba Minteh,GAM,"FW,MF",20-301,30,1666,6,4,48.4,0.81,4.0,27.0,13.0,42.0,34,37.8,21,11.0
ENG-Premier League,Brighton,Yasin Ayari,SWE,MF,21-225,32,1848,1,1,26.9,0.34,2.3,28.0,55.0,72.0,31,43.4,17,20.0
ENG-Premier League,Chelsea,Axel Disasi,FRA,DF,27-069,6,364,1,0,50.0,0.25,0.3,2.0,20.0,16.0,4,54.5,3,2.0
ENG-Premier League,Chelsea,Christopher Nkunku,FRA,FW,27-186,27,921,3,2,44.0,1.07,4.8,14.0,26.0,25.0,8,75.0,7,7.0
ENG-Premier League,Chelsea,Cole Palmer,ENG,MF,23-013,36,3101,15,8,35.8,1.25,17.2,85.0,161.0,212.0,18,41.7,15,11.0
ENG-Premier League,Chelsea,Enzo Fernández,ARG,MF,24-122,35,2857,6,7,37.7,0.63,6.1,76.0,166.0,211.0,33,36.9,35,13.0
ENG-Premier League,Chelsea,Jadon Sancho,ENG,FW,25-055,30,1703,3,4,33.3,0.42,2.2,37.0,26.0,88.0,7,41.7,10,2.0
ENG-Premier League,Chelsea,Joshua Acheampong,ENG,DF,19-014,4,170,0,0,0.0,0.0,0.2,0.0,6.0,8.0,1,100.0,1,1.0
ENG-Premier League,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",26-255,12,259,0,1,0.0,0.0,0.2,3.0,12.0,14.0,5,66.7,2,1.0
ENG-Premier League,Chelsea,Levi Colwill,ENG,DF,22-082,34,3059,1,1,18.8,0.09,1.3,14.0,145.0,129.0,34,66.7,12,32.0
ENG-Premier League,Chelsea,Malo Gusto,FRA,DF,22-000,31,1849,0,1,18.2,0.19,1.7,22.0,111.0,119.0,29,52.1,21,24.0
ENG-Premier League,Chelsea,Marc Cucurella,ESP,DF,26-301,35,2898,5,1,45.8,0.34,2.8,19.0,118.0,114.0,42,50.9,32,28.0
ENG-Premier League,Chelsea,Moisés Caicedo,ECU,"MF,DF",23-198,37,3261,1,2,15.0,0.08,0.8,30.0,233.0,214.0,70,62.4,38,49.0
ENG-Premier League,Chelsea,Nicolas Jackson,SEN,FW,23-333,30,2220,10,5,44.7,1.38,12.3,28.0,22.0,38.0,13,50.0,13,3.0
ENG-Premier League,Chelsea,Noni Madueke,ENG,FW,23-070,31,1948,7,3,38.0,1.39,9.6,32.0,14.0,68.0,16,35.1,17,9.0
ENG-Premier League,Chelsea,Pedro Neto,POR,FW,25-071,34,2192,4,5,29.8,0.7,3.2,45.0,30.0,60.0,9,42.9,12,9.0
ENG-Premier League,Chelsea,Reece James,ENG,"DF,MF",25-162,18,973,1,1,27.3,0.28,0.4,11.0,78.0,58.0,9,33.3,8,13.0
ENG-Premier League,Chelsea,Roméo Lavia,BEL,MF,21-133,15,768,0,1,0.0,0.0,0.2,7.0,49.0,31.0,13,47.6,6,16.0
ENG-Premier League,Chelsea,Tosin Adarabioyo,ENG,DF,27-237,21,1319,1,1,15.4,0.14,0.9,1.0,55.0,39.0,13,66.7,2,10.0
ENG-Premier League,Chelsea,Tyrique George,ENG,FW,19-104,8,183,1,1,33.3,0.49,0.2,6.0,0.0,3.0,0,66.7,1,2.0
ENG-Premier League,Chelsea,Wesley Fofana,FRA,DF,24-153,14,1172,0,0,0.0,0.0,0.4,6.0,54.0,32.0,12,42.9,5,14.0
ENG-Premier League,Crystal Palace,Adam Wharton,ENG,MF,20-351,20,1318,0,2,38.5,0.34,0.4,26.0,78.0,107.0,14,38.6,9,20.0
ENG-Premier League,Crystal Palace,Ben Chilwell,ENG,DF,28-149,7,169,0,0,50.0,0.53,0.1,3.0,4.0,6.0,5,0.0,2,4.0
ENG-Premier League,Crystal Palace,Cheick Doucouré,MLI,MF,25-131,13,452,0,0,0.0,0.0,0.4,1.0,17.0,19.0,8,45.5,4,11.0
ENG-Premier League,Crystal Palace,Chris Richards,USA,DF,25-052,22,1742,1,0,50.0,0.31,1.3,2.0,22.0,37.0,28,59.0,24,19.0
ENG-Premier League,Crystal Palace,Daichi Kamada,JPN,MF,28-287,32,1454,0,0,20.0,0.25,1.1,20.0,45.0,83.0,28,35.9,17,16.0
ENG-Premier League,Crystal Palace,Daniel Muñoz,COL,DF,28-358,35,3048,4,5,38.9,0.41,4.9,44.0,56.0,93.0,75,56.5,33,41.0
ENG-Premier League,Crystal Palace,Dean Henderson,ENG,GK,28-068,36,3240,0,0,0.0,0.0,0.0,2.0,22.0,0.0,1,33.3,0,0.0
ENG-Premier League,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-324,32,2517,7,8,26.3,0.93,10.2,55.0,49.0,94.0,22,47.2,27,11.0
ENG-Premier League,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25-354,27,925,1,1,32.5,1.26,4.8,12.0,11.0,17.0,7,50.0,9,2.0
ENG-Premier League,Crystal Palace,Ismaila Sarr,SEN,MF,27-083,36,2559,7,5,46.3,0.88,9.8,42.0,28.0,81.0,10,30.4,17,9.0
ENG-Premier League,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-325,35,2577,14,2,41.5,0.94,12.7,29.0,33.0,51.0,12,18.8,14,2.0
ENG-Premier League,Crystal Palace,Jefferson Lerma,COL,"MF,DF",30-206,31,2094,0,1,30.8,0.34,1.1,10.0,86.0,94.0,16,54.3,19,37.0
ENG-Premier League,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",32-147,12,103,0,0,50.0,1.75,0.2,3.0,4.0,5.0,0,0.0,6,0.0
ENG-Premier League,Crystal Palace,Justin Devenny,NIR,MF,21-220,21,433,1,0,50.0,0.83,0.7,6.0,15.0,17.0,9,50.0,3,0.0
ENG-Premier League,Crystal Palace,Marc Guéhi,ENG,DF,24-310,34,3059,3,2,46.7,0.21,2.0,16.0,133.0,134.0,34,66.0,32,28.0
ENG-Premier League,Crystal Palace,Maxence Lacroix,FRA,DF,25-043,33,2936,1,1,16.7,0.15,3.4,7.0,69.0,63.0,40,68.1,25,52.0
ENG-Premier League,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",34-044,13,483,0,0,0.0,0.0,0.0,3.0,16.0,7.0,8,54.5,2,3.0
ENG-Premier League,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",27-123,4,29,0,0,20.0,0.78,0.4,1.0,0.0,1.0,0,0.0,1,0.0
ENG-Premier League,Crystal Palace,Romain Esse,ENG,MF,20-006,5,47,1,0,100.0,1.91,0.3,1.0,1.0,3.0,2,100.0,1,1.0
ENG-Premier League,Crystal Palace,Trevoh Chalobah,ENG,DF,25-318,12,1060,3,0,36.4,0.34,1.2,4.0,27.0,34.0,16,52.2,10,19.0
ENG-Premier League,Crystal Palace,Tyrick Mitchell,ENG,DF,25-260,36,3002,0,4,25.0,0.09,1.3,40.0,47.0,66.0,54,53.5,51,14.0
ENG-Premier League,Crystal Palace,Will Hughes,ENG,MF,30-032,31,1985,0,3,4.8,0.05,1.1,32.0,72.0,85.0,33,45.8,17,21.0
ENG-Premier League,Everton,Abdoulaye Doucouré,MLI,MF,32-138,32,2549,3,2,29.0,0.32,4.1,28.0,44.0,82.0,28,32.6,25,10.0
ENG-Premier League,Everton,Ashley Young,ENG,DF,39-314,31,1785,1,3,50.0,0.15,0.3,24.0,77.0,89.0,31,60.0,10,24.0
ENG-Premier League,Everton,Beto,GNB,FW,27-108,29,1447,8,0,50.0,1.43,8.0,10.0,7.0,16.0,6,62.5,10,4.0
ENG-Premier League,Everton,Dominic Calvert-Lewin,ENG,FW,28-064,25,1605,3,1,37.5,1.01,6.3,7.0,20.0,20.0,7,33.3,5,7.0
ENG-Premier League,Everton,Dwight McNeil,ENG,"MF,FW",25-178,20,1356,4,6,40.0,0.66,1.1,36.0,39.0,67.0,7,42.9,7,6.0
ENG-Premier League,Everton,Harrison Armstrong,ENG,MF,18-120,3,48,0,0,0.0,0.0,0.4,1.0,1.0,1.0,0,0.0,0,0.0
ENG-Premier League,Everton,Idrissa Gana Gueye,SEN,MF,35-235,36,2973,0,3,18.5,0.15,1.1,19.0,148.0,142.0,80,58.6,39,45.0
ENG-Premier League,Everton,Iliman Ndiaye,SEN,FW,25-074,32,2356,9,0,44.1,0.57,6.2,18.0,40.0,58.0,26,43.8,24,17.0
ENG-Premier League,Everton,Jack Harrison,ENG,FW,28-180,33,1986,1,0,25.0,0.32,3.5,33.0,28.0,48.0,22,34.9,16,9.0
ENG-Premier League,Everton,Jake O'Brien,IRL,DF,24-004,19,1481,2,0,50.0,0.18,0.8,6.0,41.0,49.0,16,66.7,13,4.0
ENG-Premier League,Everton,James Garner,ENG,"MF,DF",24-067,20,1504,0,1,30.0,0.18,0.6,13.0,57.0,49.0,29,55.3,16,21.0
ENG-Premier League,Everton,James Tarkowski,ENG,DF,32-181,33,2922,1,1,26.7,0.12,1.3,16.0,83.0,75.0,40,61.5,15,41.0
ENG-Premier League,Everton,Jarrad Branthwaite,ENG,DF,22-326,30,2511,0,1,30.0,0.11,1.2,3.0,86.0,66.0,20,71.4,8,27.0
ENG-Premier League,Everton,Jesper Lindstrøm,DEN,FW,25-079,25,1239,0,1,35.7,0.73,2.1,19.0,18.0,25.0,25,34.5,12,12.0
ENG-Premier League,Everton,Michael Keane,ENG,DF,32-128,13,959,3,0,40.0,0.38,0.6,2.0,20.0,13.0,9,53.3,4,15.0
ENG-Premier League,Everton,Nathan Patterson,SCO,DF,23-215,10,347,0,1,0.0,0.0,0.1,4.0,9.0,13.0,6,50.0,2,2.0
ENG-Premier League,Everton,Séamus Coleman,IRL,DF,36-220,5,215,0,0,100.0,0.42,0.6,0.0,8.0,11.0,2,75.0,2,1.0
ENG-Premier League,Everton,Tim Iroegbunam,ENG,MF,21-323,18,574,0,1,0.0,0.0,0.2,3.0,10.0,15.0,14,60.9,14,16.0
ENG-Premier League,Everton,Vitaliy Mykolenko,UKR,DF,25-355,34,2992,1,1,7.1,0.03,0.5,22.0,101.0,110.0,38,51.8,15,42.0
ENG-Premier League,Everton,Youssef Chermiti,POR,"FW,MF",20-360,4,45,0,0,33.3,2.0,0.1,0.0,1.0,1.0,0,0.0,0,0.0
ENG-Premier League,Fulham,Adama Traoré,ESP,"FW,MF",29-114,35,1699,2,7,31.6,0.64,3.9,42.0,35.0,67.0,13,38.5,7,1.0
ENG-Premier League,Fulham,Alex Iwobi,NGA,"FW,MF",29-016,37,2951,9,6,43.3,0.88,4.7,59.0,112.0,208.0,24,63.6,25,13.0
ENG-Premier League,Fulham,Andreas Pereira,BRA,MF,29-138,32,1953,2,4,22.2,0.37,3.5,56.0,65.0,103.0,13,24.4,14,8.0
ENG-Premier League,Fulham,Antonee Robinson,USA,DF,27-284,35,3077,0,10,12.5,0.06,0.7,43.0,114.0,127.0,61,48.4,32,60.0
ENG-Premier League,Fulham,Calvin Bassey,NGA,DF,25-139,35,3074,1,0,28.6,0.12,1.0,3.0,152.0,116.0,34,71.0,23,20.0
ENG-Premier League,Fulham,Carlos Vinícius,BRA,"MF,FW",30-055,3,16,0,0,100.0,5.63,0.0,0.0,0.0,0.0,0,0.0,1,0.0
ENG-Premier League,Fulham,Emile Smith Rowe,ENG,MF,24-295,33,2013,6,3,29.7,0.49,4.5,22.0,78.0,122.0,18,33.3,20,11.0
ENG-Premier League,Fulham,Harrison Reed,ENG,MF,30-112,12,108,0,0,66.7,1.67,0.2,1.0,1.0,4.0,3,33.3,1,1.0
ENG-Premier League,Fulham,Harry Wilson,WAL,"FW,MF",28-058,24,1102,6,1,36.6,1.23,4.0,20.0,25.0,50.0,12,62.5,13,6.0
