,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Hellas Verona,Simone Perilli,ITA,GK,30-132,1995,1,1,90,1.0,1,1.0,6,5,83.3,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Inter,Josep Martinez,ESP,GK,26-357,1998,5,5,450,5.0,3,0.6,14,11,78.6,4,1,0,3,60.0,0,0,0,0,
ITA-Serie A,2425,Inter,Yann Sommer,SUI,GK,36-153,1988,32,32,2880,32.0,32,1.0,112,80,74.1,19,8,5,12,37.5,4,3,1,0,25.0
ITA-Serie A,2425,Juventus,Mattia Perin,ITA,GK,32-190,1992,5,5,450,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,
ITA-Serie A,2425,Juventus,Michele Di Gregorio,ITA,GK,27-296,1997,32,32,2880,32.0,30,0.94,98,68,74.5,15,13,4,14,43.8,5,5,0,0,0.0
ITA-Serie A,2425,Lazio,Christos Mandas,GRE,GK,23-244,2001,8,8,720,8.0,6,0.75,24,18,75.0,3,5,0,4,50.0,0,0,0,0,
ITA-Serie A,2425,Lazio,Ivan Provedel,ITA,GK,31-063,1994,29,29,2610,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0
ITA-Serie A,2425,Lecce,Wladimiro Falcone,ITA,GK,30-037,1995,37,37,3330,37.0,58,1.57,174,118,71.3,7,10,20,8,21.6,10,8,1,1,11.1
ITA-Serie A,2425,Milan,Marco Sportiello,ITA,GK,33-009,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Milan,Mike Maignan,FRA,GK,29-320,1995,36,36,3204,35.6,41,1.15,134,95,70.1,16,9,11,11,30.6,2,1,1,0,50.0
ITA-Serie A,2425,Monza,Semuel Pizzignacco,ITA,GK,23-260,2001,8,7,654,7.3,15,2.06,32,18,53.1,1,2,4,1,14.3,0,0,0,0,
ITA-Serie A,2425,Monza,Stefano Turati,ITA,GK,23-256,2001,30,30,2676,29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50.0
ITA-Serie A,2425,Napoli,Alex Meret,ITA,GK,28-058,1997,33,33,2915,32.4,25,0.77,83,58,71.1,20,9,4,15,45.5,4,1,2,1,66.7
ITA-Serie A,2425,Napoli,Elia Caprile,ITA,GK,23-267,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,
ITA-Serie A,2425,Napoli,Simone Scuffet,ITA,GK,28-353,1996,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
ITA-Serie A,2425,Parma,Leandro Chichizola,ARG,GK,35-053,1990,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Parma,Zion Suzuki,JPN,GK,22-271,2002,35,35,3150,35.8,51,1.46,146,97,68.5,6,15,15,7,20.0,5,5,0,0,0.0
ITA-Serie A,2425,Roma,Mile Svilar,SRB,GK,25-265,1999,37,37,3330,37.0,35,0.95,147,113,78.9,19,9,9,15,40.5,4,4,0,0,0.0
ITA-Serie A,2425,Torino,Alberto Paleari,ITA,GK,32-263,1992,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Torino,Vanja Milinković-Savić,SRB,GK,28-088,1997,36,36,3240,36.0,40,1.11,168,126,77.4,10,14,12,10,27.8,6,2,4,0,66.7
ITA-Serie A,2425,Udinese,Daniele Padelli,ITA,GK,39-206,1985,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Udinese,Maduka Okoye,NGA,GK,25-264,1999,24,24,2160,24.0,37,1.54,99,65,66.7,6,4,14,4,16.7,5,4,0,1,0.0
ITA-Serie A,2425,Udinese,Razvan Sava,ROU,GK,22-332,2002,12,12,1080,12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0
ITA-Serie A,2425,Venezia,Filip Stankovic,SRB,GK,23-083,2002,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0
ITA-Serie A,2425,Venezia,Ionuț Radu,ROU,GK,27-356,1997,14,14,1260,14.0,15,1.07,60,45,78.3,2,7,5,4,28.6,2,2,0,0,0.0
ITA-Serie A,2425,Venezia,Jesse Joronen,FIN,GK,32-059,1993,8,7,703,7.8,15,1.92,40,27,70.0,1,1,5,2,28.6,3,3,0,0,0.0
