League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,GoalAgainstPer90,Saves,Save%,CleanSheet,CleanSheet%,Season
ESP-La Liga,Real Madrid,Thibaut Courtois,BEL,33-008,30,2700,0.97,76,75.0,11,36.7,2425
GER-Bundesliga,Holstein Kiel,Thomas Dähne,GER,31-135,9,810,2.11,36,69.1,0,0.0,2425
FRA-Ligue 1,Auxerre,Théo De Percin,MTQ,24-106,2,180,1.5,5,77.8,1,50.0,2425
GER-Bundesliga,Gladbach,Tiago Cardoso,LUX,19-042,5,380,0.71,20,87.0,2,50.0,2425
GER-Bundesliga,Bochum,Timo Horn,GER,32-007,13,1170,1.69,32,59.3,3,23.1,2425
GER-Bundesliga,Holstein Kiel,Timon Weiner,GER,26-121,25,2250,2.44,81,59.3,2,8.0,2425
ESP-La Liga,Real Sociedad,Unai Marrero,ESP,23-222,1,90,1.0,3,75.0,0,0.0,2425
ESP-La Liga,Athletic Club,Unai Simón,ESP,27-342,20,1800,0.55,46,81.0,10,50.0,2425
ITA-Serie A,Torino,Vanja Milinković-Savić,SRB,28-088,36,3240,1.11,126,77.4,10,27.8,2425
ESP-La Liga,Celta Vigo,Vicente Guaita,ESP,38-129,33,2970,1.42,79,65.1,8,24.2,2425
ITA-Serie A,Lecce,Wladimiro Falcone,ITA,30-037,37,3330,1.57,118,71.3,8,21.6,2425
ESP-La Liga,Barcelona,Wojciech Szczęsny,POL,35-031,15,1350,0.8,21,66.7,8,53.3,2425
FRA-Ligue 1,Angers,Yahia Fofana,CIV,24-271,33,2970,1.55,135,74.2,7,21.2,2425
ITA-Serie A,Inter,Yann Sommer,SUI,36-153,32,2880,1.0,80,74.1,12,37.5,2425
FRA-Ligue 1,Reims,Yehvann Diouf,FRA,25-184,34,3060,1.38,131,76.0,7,20.6,2425
ITA-Serie A,Parma,Zion Suzuki,JPN,22-271,35,3150,1.46,97,68.5,7,20.0,2425
ESP-La Liga,Real Sociedad,Álex Remiro,ESP,30-056,36,3240,1.19,86,70.8,13,36.1,2425
ESP-La Liga,Sevilla,Álvaro Fernández,ESP,27-036,8,657,1.64,17,65.5,3,42.9,2425
ESP-La Liga,Sevilla,Ørjan Nyland,NOR,34-251,30,2673,1.31,73,67.9,7,23.3,2425
FRA-Ligue 1,Strasbourg,Đorđe Petrović,SRB,25-223,31,2790,1.23,110,78.9,10,32.3,2425
ENG-Premier League,West Ham,Łukasz Fabiański,POL,40-031,13,1070,1.68,47,74.6,2,16.7,2425
ITA-Serie A,Bologna,Łukasz Skorupski,POL,34-014,27,2364,1.26,50,61.0,8,29.6,2425
