League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,GoalAgainstPer90,Saves,Save%,CleanSheet,CleanSheet%,Season
ITA-Serie A,Torino,Vanja Milinković-Savić,SRB,26.0,36,3240,0.86,103,81.3,18,50.0,2324
ITA-Serie A,Udinese,Maduka Okoye,NGA,23.0,21,1890,1.19,65,75.3,5,23.8,2324
ITA-Serie A,Udinese,Marco Silvestri,ITA,32.0,17,1530,1.65,40,67.6,4,23.5,2324
ENG-Premier League,Southampton,Aaron Ramsdale,ENG,27-005,29,2610,2.21,115,67.4,3,10.3,2425
ESP-La Liga,Alavés,Adrian Rodriguez,ESP,24-158,2,122,1.48,4,83.3,1,100.0,2425
ESP-La Liga,Betis,Adrián,ESP,38-136,18,1620,1.44,48,66.2,3,16.7,2425
ESP-La Liga,Osasuna,Aitor Fernández,ESP,34-016,1,90,0.0,5,100.0,1,100.0,2425
FRA-Ligue 1,Nantes,Alban Lafont,FRA,26-116,12,1080,1.58,32,67.3,2,16.7,2425
ITA-Serie A,Torino,Alberto Paleari,ITA,32-263,1,90,3.0,4,57.1,0,0.0,2425
ITA-Serie A,Cagliari,Alen Sherri,ALB,27-155,6,540,1.5,16,64.0,1,16.7,2425
ENG-Premier League,Southampton,Alex McCarthy,ENG,35-167,5,450,2.6,24,70.3,0,0.0,2425
ITA-Serie A,Napoli,Alex Meret,ITA,28-058,33,2915,0.77,58,71.1,15,45.5,2425
ESP-La Liga,Athletic Club,Alex Padilla,ESP,21-260,5,321,1.68,12,70.6,0,0.0,2425
ENG-Premier League,Ipswich Town,Alex Palmer,ENG,28-282,13,1170,2.31,43,59.2,0,0.0,2425
GER-Bundesliga,Dortmund,Alexander Meyer,GER,34-036,2,180,2.0,7,63.6,0,0.0,2425
GER-Bundesliga,Stuttgart,Alexander Nübel,GER,28-231,34,3060,1.56,83,62.5,7,20.6,2425
GER-Bundesliga,Union Berlin,Alexander Schwolow,GER,32-351,6,540,2.17,15,57.1,0,0.0,2425
ENG-Premier League,Liverpool,Alisson,BRA,32-229,26,2328,0.97,60,71.1,9,34.6,2425
ENG-Premier League,West Ham,Alphonse Areola,FRA,32-081,26,2260,1.63,77,64.3,5,20.0,2425
ENG-Premier League,Manchester Utd,Altay Bayındır,TUR,27-035,3,270,3.33,7,37.5,0,0.0,2425
ESP-La Liga,Real Madrid,Andriy Lunin,UKR,26-097,6,540,1.17,12,63.2,3,50.0,2425
ESP-La Liga,Valladolid,André Ferreira,POR,28-355,6,540,3.33,19,56.4,0,0.0,2425
ENG-Premier League,Manchester Utd,André Onana,CMR,29-047,34,3060,1.29,88,68.9,9,26.5,2425
FRA-Ligue 1,Nantes,Anthony Lopes,POR,34-230,18,1563,1.5,46,69.0,3,16.7,2425
ESP-La Liga,Alavés,Antonio Sivera,ESP,28-281,31,2720,1.26,71,72.9,8,25.8,2425
ENG-Premier League,Tottenham,Antonín Kinský,CZE,22-067,6,540,1.83,23,65.6,1,16.7,2425
ENG-Premier League,Ipswich Town,Arijanet Muric,KVX,26-193,18,1620,1.83,67,70.0,1,5.6,2425
ESP-La Liga,Valladolid,Arnau Rafús,ESP,22-022,1,90,2.0,0,0.0,0,0.0,2425
FRA-Ligue 1,Paris S-G,Arnau Tenas,ESP,23-354,1,90,1.0,3,75.0,0,0.0,2425
FRA-Ligue 1,Le Havre,Arthur Desmas,FRA,31-042,18,1620,2.11,54,61.3,3,16.7,2425
ESP-La Liga,Rayo Vallecano,Augusto Batalla,ARG,29-019,31,2790,1.26,91,74.8,7,22.6,2425
ENG-Premier League,Brighton,Bart Verbruggen,NED,22-274,34,3060,1.62,83,65.4,7,20.6,2425
GER-Bundesliga,St. Pauli,Ben Alexander Voll,GER,24-161,2,91,1.98,3,60.0,0,0.0,2425
