League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,TklW,Blocks,Cmp%,LongCmp%,xAG,keyPasses,FinalThirdPasses,PrgP
FRA-Ligue 1,Lille,Nabil Bentaleb,ALG,30-176,10,329,3,5,86.1,70.0,0.0,1.0,17.0,23.0
FRA-Ligue 1,Lille,Ngal'Ayel Mukau,COD,20-170,22,1190,18,14,89.1,87.2,0.7,12.0,52.0,57.0
FRA-Ligue 1,Lyon,Corentin Tolisso,FRA,30-289,32,2329,25,52,84.8,62.5,4.9,31.0,147.0,166.0
FRA-Ligue 1,Lyon,Jordan Veretout,FRA,32-079,27,1553,14,17,83.9,65.2,0.6,13.0,86.0,99.0
FRA-Ligue 1,Lyon,Mahamadou Diawara,FRA,20-091,15,582,0,2,82.8,72.7,0.4,7.0,15.0,16.0
FRA-Ligue 1,Lyon,Mahamadou Diawara,FRA,20-091,15,582,0,2,85.7,100.0,0.0,0.0,0.0,1.0
FRA-Ligue 1,Lyon,Mahamadou Diawara,FRA,20-091,2,16,0,2,82.8,72.7,0.4,7.0,15.0,16.0
FRA-Ligue 1,Lyon,Mahamadou Diawara,FRA,20-091,2,16,0,2,85.7,100.0,0.0,0.0,0.0,1.0
FRA-Ligue 1,Lyon,Maxence Caqueret,FRA,25-093,9,573,11,12,79.9,60.7,0.4,10.0,39.0,50.0
FRA-Ligue 1,Lyon,Maxence Caqueret,FRA,25-093,9,573,11,12,83.2,71.1,1.5,19.0,66.0,73.0
FRA-Ligue 1,Lyon,Maxence Caqueret,FRA,25-093,17,1043,11,12,79.9,60.7,0.4,10.0,39.0,50.0
FRA-Ligue 1,Lyon,Maxence Caqueret,FRA,25-093,17,1043,11,12,83.2,71.1,1.5,19.0,66.0,73.0
FRA-Ligue 1,Lyon,Nemanja Matić,SRB,36-291,29,2010,29,21,86.9,70.2,1.3,17.0,164.0,150.0
FRA-Ligue 1,Lyon,Orel Mangala,BEL,27-062,19,1261,0,2,89.2,76.7,0.6,8.0,50.0,34.0
FRA-Ligue 1,Lyon,Orel Mangala,BEL,27-062,19,1261,0,2,90.6,100.0,0.0,1.0,5.0,7.0
FRA-Ligue 1,Lyon,Orel Mangala,BEL,27-062,1,67,0,2,89.2,76.7,0.6,8.0,50.0,34.0
FRA-Ligue 1,Lyon,Orel Mangala,BEL,27-062,1,67,0,2,90.6,100.0,0.0,1.0,5.0,7.0
FRA-Ligue 1,Lyon,Paul Akouokou,CIV,27-150,2,19,0,0,66.7,75.0,0.0,0.0,0.0,1.0
FRA-Ligue 1,Lyon,Tanner Tessmann,USA,23-237,25,1234,15,13,89.4,69.7,0.6,7.0,64.0,56.0
FRA-Ligue 1,Marseille,Adrien Rabiot,FRA,30-046,29,2485,31,21,84.8,56.7,3.8,28.0,147.0,168.0
FRA-Ligue 1,Marseille,Amine Harit,MAR,27-335,13,519,7,6,83.5,41.2,2.4,19.0,18.0,35.0
FRA-Ligue 1,Marseille,Bilal Nadir,MAR,21-172,15,383,3,6,87.3,75.0,0.4,7.0,15.0,18.0
FRA-Ligue 1,Marseille,Ismaël Bennacer,ALG,27-169,12,646,10,6,91.0,64.0,1.8,13.0,83.0,72.0
FRA-Ligue 1,Marseille,Ismaël Bennacer,ALG,27-169,12,646,10,6,89.1,66.7,0.1,4.0,22.0,23.0
FRA-Ligue 1,Marseille,Ismaël Bennacer,ALG,27-169,6,300,10,6,91.0,64.0,1.8,13.0,83.0,72.0
FRA-Ligue 1,Marseille,Ismaël Bennacer,ALG,27-169,6,300,10,6,89.1,66.7,0.1,4.0,22.0,23.0
FRA-Ligue 1,Marseille,Pierre Højbjerg,DEN,29-287,30,2664,45,28,92.4,67.3,3.9,43.0,231.0,263.0
FRA-Ligue 1,Monaco,Almoatasem Al Musrati,LBY,29-043,10,386,11,3,87.6,71.2,0.4,5.0,38.0,41.0
FRA-Ligue 1,Monaco,Denis Zakaria,SUI,28-180,26,2144,26,31,90.4,68.9,1.4,16.0,91.0,113.0
FRA-Ligue 1,Monaco,Eliot Matazo,BEL,23-093,3,68,2,0,85.4,100.0,0.1,1.0,1.0,7.0
FRA-Ligue 1,Monaco,Lamine Camara,SEN,21-138,29,2054,41,30,82.8,58.8,4.4,44.0,133.0,141.0
FRA-Ligue 1,Monaco,Mamadou Coulibaly,FRA,21-028,1,8,0,0,60.0,0.0,0.0,0.0,1.0,0.0
FRA-Ligue 1,Monaco,Soungoutou Magassa,FRA,21-223,21,1025,25,16,84.6,61.9,0.9,7.0,67.0,63.0
FRA-Ligue 1,Montpellier,Jordan Ferri,FRA,33-068,25,1773,23,20,88.3,70.5,0.9,13.0,119.0,137.0
FRA-Ligue 1,Montpellier,Joris Chotard,FRA,23-237,26,1892,27,28,81.8,69.7,0.5,7.0,80.0,80.0
FRA-Ligue 1,Montpellier,Rabby Nzingoula,CGO,19-175,27,1689,42,27,76.7,58.2,1.6,8.0,32.0,40.0
FRA-Ligue 1,Montpellier,Téji Savanier,FRA,33-148,31,2363,25,16,69.6,57.9,6.9,67.0,165.0,183.0
FRA-Ligue 1,Nantes,Douglas,BRA,28-126,28,2307,42,51,86.5,72.7,1.5,15.0,108.0,125.0
FRA-Ligue 1,Nantes,Francis Coquelin,FRA,34-006,6,224,5,3,87.1,50.0,1.1,5.0,11.0,8.0
FRA-Ligue 1,Nantes,Jean-Philippe Gbamin,CIV,29-236,14,216,1,5,78.3,50.0,0.0,0.0,11.0,12.0
FRA-Ligue 1,Nantes,Johann Lepenant,FRA,22-209,29,2048,33,35,80.3,61.5,0.9,8.0,70.0,89.0
FRA-Ligue 1,Nantes,Pedro Chirivella,ESP,27-361,30,2348,29,25,85.1,60.8,1.8,19.0,169.0,170.0
FRA-Ligue 1,Nice,Baptiste Santamaria,FRA,30-071,13,927,10,14,82.6,63.3,1.0,9.0,40.0,45.0
FRA-Ligue 1,Nice,Baptiste Santamaria,FRA,30-071,13,927,10,14,82.5,71.1,0.3,4.0,32.0,28.0
FRA-Ligue 1,Nice,Baptiste Santamaria,FRA,30-071,10,482,10,14,82.6,63.3,1.0,9.0,40.0,45.0
FRA-Ligue 1,Nice,Baptiste Santamaria,FRA,30-071,10,482,10,14,82.5,71.1,0.3,4.0,32.0,28.0
FRA-Ligue 1,Nice,Bilal Brahimi,ALG,25-066,2,76,0,1,87.5,50.0,0.0,1.0,1.0,4.0
FRA-Ligue 1,Nice,Hicham Boudaoui,ALG,25-238,29,2435,52,40,83.2,64.1,3.0,22.0,76.0,124.0
FRA-Ligue 1,Nice,Issiaga Camara,GUI,20-106,4,20,1,0,93.8,0.0,0.0,0.0,2.0,2.0
FRA-Ligue 1,Nice,Morgan Sanson,FRA,30-274,6,235,3,3,78.3,81.8,0.1,1.0,7.0,13.0
FRA-Ligue 1,Nice,Rareş Ilie,ROU,22-030,2,13,1,0,80.0,100.0,0.4,4.0,1.0,3.0
FRA-Ligue 1,Nice,Tanguy Ndombele,FRA,28-142,18,1131,23,9,87.2,71.0,2.4,18.0,41.0,61.0
FRA-Ligue 1,Paris S-G,Fabián Ruiz Peña,ESP,29-046,30,1923,24,25,89.6,77.1,4.7,36.0,155.0,205.0
FRA-Ligue 1,Paris S-G,Senny Mayulu,FRA,19-002,20,808,16,8,87.8,86.2,2.1,12.0,32.0,46.0
FRA-Ligue 1,Paris S-G,Vitinha,POR,25-095,29,2042,23,26,93.1,84.5,2.6,27.0,257.0,224.0
FRA-Ligue 1,Paris S-G,Vitinha,POR,25-095,29,2042,23,26,59.2,40.5,3.0,15.0,12.0,19.0
FRA-Ligue 1,Paris S-G,Vitinha,POR,25-095,24,1266,23,26,93.1,84.5,2.6,27.0,257.0,224.0
FRA-Ligue 1,Paris S-G,Vitinha,POR,25-095,24,1266,23,26,59.2,40.5,3.0,15.0,12.0,19.0
FRA-Ligue 1,Reims,Amadou Koné,MLI,20-005,24,1293,32,18,86.0,72.1,0.3,8.0,53.0,68.0
FRA-Ligue 1,Reims,John Joe,IRL,21-207,4,48,15,11,80.0,100.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,Reims,John Joe,IRL,21-207,4,48,15,11,74.0,36.4,0.0,1.0,12.0,14.0
FRA-Ligue 1,Reims,John Joe,IRL,21-207,13,545,15,11,80.0,100.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,Reims,John Joe,IRL,21-207,13,545,15,11,74.0,36.4,0.0,1.0,12.0,14.0
FRA-Ligue 1,Reims,Marshall Munetsi,ZIM,28-331,12,968,18,27,71.4,33.3,1.6,8.0,5.0,8.0
FRA-Ligue 1,Reims,Marshall Munetsi,ZIM,28-331,12,968,18,27,68.5,40.0,2.0,19.0,14.0,26.0
FRA-Ligue 1,Reims,Marshall Munetsi,ZIM,28-331,19,1692,18,27,71.4,33.3,1.6,8.0,5.0,8.0
FRA-Ligue 1,Reims,Marshall Munetsi,ZIM,28-331,19,1692,18,27,68.5,40.0,2.0,19.0,14.0,26.0
FRA-Ligue 1,Reims,Martin Adeline,FRA,21-168,1,26,1,0,80.0,50.0,0.0,0.0,1.0,0.0
FRA-Ligue 1,Reims,Mohamed Bamba,CIV,20-223,2,10,0,2,84.2,100.0,0.0,0.0,3.0,3.0
FRA-Ligue 1,Reims,Teddy Teuma,MLT,31-231,17,750,10,12,79.2,53.2,1.1,13.0,41.0,47.0
FRA-Ligue 1,Reims,Valentin Atangana Edoa,FRA,19-267,34,2854,50,31,86.0,46.9,1.1,12.0,66.0,93.0
FRA-Ligue 1,Rennes,Azor Matusiwa,NED,27-021,29,2078,39,29,87.1,88.6,1.8,17.0,109.0,134.0
FRA-Ligue 1,Rennes,Baptiste Santamaria,FRA,30-071,13,927,4,10,82.6,63.3,1.0,9.0,40.0,45.0
FRA-Ligue 1,Rennes,Baptiste Santamaria,FRA,30-071,13,927,4,10,82.5,71.1,0.3,4.0,32.0,28.0
FRA-Ligue 1,Rennes,Baptiste Santamaria,FRA,30-071,10,482,4,10,82.6,63.3,1.0,9.0,40.0,45.0
FRA-Ligue 1,Rennes,Baptiste Santamaria,FRA,30-071,10,482,4,10,82.5,71.1,0.3,4.0,32.0,28.0
FRA-Ligue 1,Rennes,Benjamin Bourigeaud,FRA,31-125,1,80,0,2,75.0,40.0,0.0,0.0,3.0,4.0
FRA-Ligue 1,Rennes,Djaoui Cissé,FRA,21-108,14,1121,18,29,87.5,84.3,0.2,6.0,66.0,84.0
FRA-Ligue 1,Rennes,Glen Kamara,FIN,29-203,13,662,11,7,90.3,95.0,0.2,5.0,34.0,34.0
FRA-Ligue 1,Rennes,Ismaël Koné,CAN,22-347,8,360,6,9,86.7,88.9,0.4,4.0,9.0,10.0
FRA-Ligue 1,Rennes,Ismaël Koné,CAN,22-347,8,360,6,9,84.6,85.7,1.3,5.0,19.0,30.0
FRA-Ligue 1,Rennes,Ismaël Koné,CAN,22-347,13,469,6,9,86.7,88.9,0.4,4.0,9.0,10.0
FRA-Ligue 1,Rennes,Ismaël Koné,CAN,22-347,13,469,6,9,84.6,85.7,1.3,5.0,19.0,30.0
FRA-Ligue 1,Rennes,Jordan James,WAL,20-321,23,1178,19,14,84.1,68.0,1.9,24.0,55.0,67.0
FRA-Ligue 1,Rennes,Seko Fofana,CIV,30-012,16,844,7,7,90.4,76.9,1.2,13.0,38.0,72.0
FRA-Ligue 1,Saint-Étienne,Aimen Moueffek,FRA,24-040,22,1039,12,20,84.8,57.1,1.1,10.0,39.0,43.0
FRA-Ligue 1,Saint-Étienne,Benjamin Bouchouari,MAR,23-187,25,1772,27,21,86.7,70.2,0.9,16.0,123.0,133.0
FRA-Ligue 1,Saint-Étienne,Florian Tardieu,FRA,33-027,24,1252,14,18,85.8,57.7,1.3,19.0,127.0,139.0
FRA-Ligue 1,Saint-Étienne,Lamine Fomba,FRA,27-113,7,217,6,7,83.4,66.7,0.3,1.0,14.0,18.0
FRA-Ligue 1,Saint-Étienne,Louis Mouton,FRA,22-350,24,1045,25,17,80.2,67.8,1.3,16.0,42.0,54.0
FRA-Ligue 1,Saint-Étienne,Mathis Amougou,FRA,19-121,1,8,15,10,77.1,56.0,0.4,7.0,23.0,36.0
FRA-Ligue 1,Saint-Étienne,Mathis Amougou,FRA,19-121,17,859,15,10,77.1,56.0,0.4,7.0,23.0,36.0
FRA-Ligue 1,Saint-Étienne,Pierre Ekwah Elimby,FRA,23-124,29,2575,33,26,88.2,65.3,1.0,16.0,144.0,146.0
FRA-Ligue 1,Strasbourg,Andrey Santos,BRA,21-016,32,2855,74,46,88.2,80.2,3.3,27.0,141.0,149.0
FRA-Ligue 1,Strasbourg,Junior Mwanga,FRA,22-008,11,952,9,2,82.2,58.3,1.0,7.0,37.0,42.0
FRA-Ligue 1,Strasbourg,Junior Mwanga,FRA,22-008,11,952,9,2,90.5,77.8,0.0,1.0,11.0,10.0
FRA-Ligue 1,Strasbourg,Junior Mwanga,FRA,22-008,8,296,9,2,82.2,58.3,1.0,7.0,37.0,42.0
FRA-Ligue 1,Strasbourg,Junior Mwanga,FRA,22-008,8,296,9,2,90.5,77.8,0.0,1.0,11.0,10.0
FRA-Ligue 1,Strasbourg,Karol Fila,POL,26-340,1,5,0,0,50.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,Strasbourg,Nordine Kandil,FRA,23-200,1,10,0,0,50.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,Toulouse,Cristian Cásseres Jr.,VEN,25-119,32,2696,61,35,78.8,49.7,2.6,27.0,89.0,128.0
FRA-Ligue 1,Toulouse,Denis Genreau,AUS,25-363,8,222,5,3,82.7,50.0,0.5,5.0,7.0,13.0
FRA-Ligue 1,Toulouse,Miha Zajc,SVN,30-322,19,262,4,2,82.7,50.0,0.1,3.0,16.0,24.0
FRA-Ligue 1,Toulouse,Niklas Schmidt,GER,27-079,9,205,4,0,78.9,64.3,0.7,5.0,23.0,23.0
FRA-Ligue 1,Toulouse,Vincent Sierro,SUI,29-223,29,2402,27,34,78.4,46.8,3.6,30.0,102.0,147.0
GER-Bundesliga,Augsburg,Arne Maier,GER,26-131,28,938,7,15,76.5,54.7,1.5,25.0,40.0,44.0
GER-Bundesliga,Augsburg,Elvis Rexhbeçaj,KVX,27-199,27,1785,19,40,70.0,45.1,1.1,16.0,39.0,94.0
GER-Bundesliga,Augsburg,Frank Onyeka,NGA,27-138,2,25,45,36,83.6,66.3,1.3,17.0,70.0,106.0
GER-Bundesliga,Augsburg,Frank Onyeka,NGA,27-138,31,2586,45,36,83.6,66.3,1.3,17.0,70.0,106.0
GER-Bundesliga,Augsburg,Fredrik Jensen,FIN,27-252,20,763,7,10,69.5,66.7,0.7,11.0,8.0,20.0
GER-Bundesliga,Augsburg,Kristijan Jakić,CRO,28-005,31,2306,23,42,82.9,75.4,1.2,16.0,95.0,106.0
GER-Bundesliga,Augsburg,Mert Kömür,GER,19-306,20,654,2,9,71.9,54.8,1.5,13.0,3.0,11.0
GER-Bundesliga,Augsburg,Niklas Dorsch,GER,27-124,1,32,0,1,84.6,100.0,0.0,0.0,1.0,1.0
GER-Bundesliga,Augsburg,Niklas Dorsch,GER,27-124,1,32,0,1,83.4,59.6,1.1,13.0,46.0,57.0
GER-Bundesliga,Augsburg,Niklas Dorsch,GER,27-124,22,1335,0,1,84.6,100.0,0.0,0.0,1.0,1.0
GER-Bundesliga,Augsburg,Niklas Dorsch,GER,27-124,22,1335,0,1,83.4,59.6,1.1,13.0,46.0,57.0
GER-Bundesliga,Augsburg,Tim Breithaupt,GER,23-101,2,120,1,1,86.6,75.0,0.4,1.0,10.0,10.0
GER-Bundesliga,Bayern Munich,Aleksandar Pavlovic,GER,21-016,21,1451,21,18,93.3,73.1,0.2,7.0,169.0,128.0
GER-Bundesliga,Bayern Munich,Jamal Musiala,GER,22-082,25,1798,21,30,82.6,82.1,4.5,41.0,75.0,107.0
GER-Bundesliga,Bayern Munich,Joshua Kimmich,GER,30-100,33,2847,29,23,89.5,69.9,7.4,83.0,437.0,362.0
GER-Bundesliga,Bayern Munich,João Palhinha,POR,29-314,17,673,14,13,92.4,68.9,0.2,4.0,47.0,32.0
GER-Bundesliga,Bochum,Anthony Losilla,FRA,39-070,21,1137,16,22,76.6,47.4,0.4,7.0,23.0,45.0
GER-Bundesliga,Bochum,Ibrahima Sissoko,MLI,27-204,32,2610,44,39,75.0,53.3,1.6,27.0,77.0,105.0
GER-Bundesliga,Bochum,Mats Pannewig,GER,20-203,14,267,6,8,75.2,44.4,0.1,1.0,4.0,10.0
GER-Bundesliga,Bochum,Matúš Bero,SVK,29-255,30,2565,35,37,67.9,45.8,3.7,54.0,104.0,143.0
GER-Bundesliga,Bochum,Tom Krauß,GER,23-331,14,1077,18,26,80.0,60.5,0.7,12.0,76.0,84.0
GER-Bundesliga,Dortmund,Carney Chukwuemeka,ENG,21-211,10,253,5,5,78.7,100.0,0.9,7.0,8.0,18.0
GER-Bundesliga,Dortmund,Felix Nmecha,GER,24-221,26,1509,22,20,87.9,80.6,1.1,14.0,91.0,85.0
GER-Bundesliga,Dortmund,Gio Reyna,USA,22-187,16,350,0,3,78.8,55.6,0.2,2.0,17.0,22.0
GER-Bundesliga,Dortmund,Julian Brandt,GER,29-017,30,2303,11,17,78.8,57.3,8.5,61.0,94.0,149.0
GER-Bundesliga,Dortmund,Marcel Sabitzer,AUT,31-063,26,1616,19,19,84.8,55.4,1.6,12.0,75.0,97.0
GER-Bundesliga,Dortmund,Salih Özcan,TUR,27-128,11,391,7,7,77.6,36.4,0.4,5.0,25.0,31.0
GER-Bundesliga,Dortmund,Salih Özcan,TUR,27-128,11,391,7,7,75.9,40.0,0.8,5.0,19.0,22.0
GER-Bundesliga,Dortmund,Salih Özcan,TUR,27-128,11,353,7,7,77.6,36.4,0.4,5.0,25.0,31.0
GER-Bundesliga,Dortmund,Salih Özcan,TUR,27-128,11,353,7,7,75.9,40.0,0.8,5.0,19.0,22.0
GER-Bundesliga,Eint Frankfurt,Ellyes Skhiri,TUN,30-009,30,2231,22,30,88.5,65.9,1.4,22.0,82.0,105.0
GER-Bundesliga,Eint Frankfurt,Hugo Larsson,SWE,20-326,33,2393,27,42,86.9,63.4,2.1,21.0,89.0,121.0
GER-Bundesliga,Eint Frankfurt,Mahmoud Dahoud,GER,29-138,9,364,4,5,84.9,50.0,0.7,8.0,10.0,17.0
GER-Bundesliga,Eint Frankfurt,Oscar Højlund,DEN,20-135,20,722,12,15,88.0,59.1,1.1,6.0,30.0,49.0
GER-Bundesliga,Freiburg,Maximilian Eggestein,GER,28-162,33,2845,32,37,83.5,59.4,1.5,19.0,131.0,141.0
GER-Bundesliga,Freiburg,Nicolas Höfler,GER,35-071,20,794,23,7,86.4,76.9,0.1,3.0,31.0,30.0
GER-Bundesliga,Freiburg,Patrick Osterhage,GER,25-107,30,2267,29,27,83.7,56.0,1.4,16.0,71.0,73.0
GER-Bundesliga,Gladbach,Florian Neuhaus,GER,28-064,18,382,3,9,83.3,61.9,0.3,6.0,19.0,27.0
GER-Bundesliga,Gladbach,Julian Weigl,GER,29-253,33,2881,25,54,88.3,78.5,1.1,11.0,121.0,122.0
GER-Bundesliga,Gladbach,Kevin Stöger,AUT,31-265,31,1551,21,24,75.8,53.5,5.3,54.0,90.0,121.0
GER-Bundesliga,Gladbach,Philipp Sander,GER,27-087,27,1400,17,16,80.9,39.2,0.6,13.0,50.0,60.0
GER-Bundesliga,Gladbach,Rocco Reitz,GER,22-355,27,1830,24,39,77.9,60.3,2.1,16.0,69.0,91.0
GER-Bundesliga,Heidenheim,Jan Schöppner,GER,25-341,33,2681,30,38,74.7,57.5,3.4,25.0,67.0,107.0
GER-Bundesliga,Heidenheim,Julian Niehues,GER,24-032,8,154,1,1,78.6,41.7,0.1,3.0,9.0,6.0
GER-Bundesliga,Heidenheim,Lennard Maloney,USA,25-223,11,760,11,9,71.6,46.2,0.0,1.0,12.0,14.0
GER-Bundesliga,Heidenheim,Lennard Maloney,USA,25-223,11,760,11,9,57.1,100.0,0.0,0.0,0.0,0.0
GER-Bundesliga,Heidenheim,Lennard Maloney,USA,25-223,5,26,11,9,71.6,46.2,0.0,1.0,12.0,14.0
GER-Bundesliga,Heidenheim,Lennard Maloney,USA,25-223,5,26,11,9,57.1,100.0,0.0,0.0,0.0,0.0
GER-Bundesliga,Heidenheim,Niklas Dorsch,GER,27-124,1,32,16,14,84.6,100.0,0.0,0.0,1.0,1.0
GER-Bundesliga,Heidenheim,Niklas Dorsch,GER,27-124,1,32,16,14,83.4,59.6,1.1,13.0,46.0,57.0
GER-Bundesliga,Heidenheim,Niklas Dorsch,GER,27-124,22,1335,16,14,84.6,100.0,0.0,0.0,1.0,1.0
GER-Bundesliga,Heidenheim,Niklas Dorsch,GER,27-124,22,1335,16,14,83.4,59.6,1.1,13.0,46.0,57.0
GER-Bundesliga,Heidenheim,Norman Theuerkauf,GER,38-115,1,22,0,0,85.0,100.0,0.0,0.0,2.0,2.0
GER-Bundesliga,Hoffenheim,Diadie Samassékou,MLI,29-128,8,290,5,4,92.3,57.1,0.0,0.0,15.0,11.0
GER-Bundesliga,Hoffenheim,Finn Ole Becker,GER,24-345,13,670,5,7,82.5,63.6,0.3,8.0,38.0,45.0
GER-Bundesliga,Hoffenheim,Florian Grillitsch,AUT,29-285,13,623,9,6,82.8,62.7,0.7,8.0,29.0,38.0
GER-Bundesliga,Hoffenheim,Florian Grillitsch,AUT,29-285,13,623,9,6,86.6,68.6,0.2,5.0,39.0,44.0
GER-Bundesliga,Hoffenheim,Florian Grillitsch,AUT,29-285,8,601,9,6,82.8,62.7,0.7,8.0,29.0,38.0
GER-Bundesliga,Hoffenheim,Florian Grillitsch,AUT,29-285,8,601,9,6,86.6,68.6,0.2,5.0,39.0,44.0
GER-Bundesliga,Hoffenheim,Grischa Prömel,GER,30-130,2,174,0,1,84.2,42.9,0.0,0.0,5.0,5.0
GER-Bundesliga,Holstein Kiel,Armin Gigovic,BIH,23-043,31,1895,13,20,77.7,41.5,2.1,16.0,44.0,50.0
GER-Bundesliga,Holstein Kiel,Lewis Holtby,GER,34-243,25,1238,20,14,76.5,45.5,1.5,21.0,29.0,47.0
GER-Bundesliga,Holstein Kiel,Magnus Knudsen,NOR,23-338,31,1850,29,18,84.0,63.5,1.3,8.0,39.0,54.0
GER-Bundesliga,Holstein Kiel,Nicolai Remberg,GER,24-334,32,2417,25,46,77.9,62.0,0.8,9.0,73.0,80.0
GER-Bundesliga,Leverkusen,Aleix García,ESP,27-325,28,1455,7,12,87.2,65.8,4.9,32.0,135.0,120.0
GER-Bundesliga,Leverkusen,Emi Buendía,ARG,28-145,12,98,5,6,81.7,20.0,0.0,1.0,4.0,7.0
GER-Bundesliga,Leverkusen,Emi Buendía,ARG,28-145,12,98,5,6,78.3,42.9,0.9,6.0,9.0,14.0
GER-Bundesliga,Leverkusen,Emi Buendía,ARG,28-145,11,257,5,6,81.7,20.0,0.0,1.0,4.0,7.0
GER-Bundesliga,Leverkusen,Emi Buendía,ARG,28-145,11,257,5,6,78.3,42.9,0.9,6.0,9.0,14.0
GER-Bundesliga,Leverkusen,Exequiel Palacios,ARG,26-226,24,1155,15,14,90.1,80.0,2.3,28.0,97.0,97.0
GER-Bundesliga,Leverkusen,Granit Xhaka,SUI,32-234,33,2888,26,30,89.7,76.3,4.4,50.0,372.0,318.0
GER-Bundesliga,Mainz 05,Aymen Barkok,MAR,26-363,4,73,1,1,70.3,80.0,0.1,1.0,7.0,5.0
GER-Bundesliga,Mainz 05,Hong Hyunseok,KOR,25-337,23,530,3,7,77.9,44.4,1.5,9.0,11.0,23.0
GER-Bundesliga,Mainz 05,Kaishu Sano,JPN,24-140,34,3043,36,66,80.1,61.1,1.2,19.0,133.0,159.0
GER-Bundesliga,Mainz 05,Lee Jae-sung,KOR,32-282,33,2650,21,39,77.5,66.7,5.0,34.0,56.0,105.0
GER-Bundesliga,Mainz 05,Lennard Maloney,USA,25-223,11,760,1,2,71.6,46.2,0.0,1.0,12.0,14.0
GER-Bundesliga,Mainz 05,Lennard Maloney,USA,25-223,11,760,1,2,57.1,100.0,0.0,0.0,0.0,0.0
GER-Bundesliga,Mainz 05,Lennard Maloney,USA,25-223,5,26,1,2,71.6,46.2,0.0,1.0,12.0,14.0
GER-Bundesliga,Mainz 05,Lennard Maloney,USA,25-223,5,26,1,2,57.1,100.0,0.0,0.0,0.0,0.0
GER-Bundesliga,Mainz 05,Nadiem Amiri,GER,28-204,30,2473,23,19,77.0,50.7,6.6,63.0,173.0,204.0
GER-Bundesliga,Mainz 05,Paul Nebel,GER,22-221,31,2345,24,54,73.1,56.8,4.1,35.0,38.0,91.0
GER-Bundesliga,RB Leipzig,Amadou Haidara,MLI,27-108,28,1320,17,42,80.2,50.0,0.9,5.0,65.0,65.0
GER-Bundesliga,RB Leipzig,Arthur Vermeeren,BEL,20-101,28,1572,19,34,86.1,69.8,0.9,12.0,71.0,77.0
GER-Bundesliga,RB Leipzig,Christoph Baumgartner,AUT,25-291,31,1610,28,45,68.2,53.7,1.3,20.0,40.0,53.0
GER-Bundesliga,RB Leipzig,Elif Elmas,MKD,25-237,2,44,1,2,81.3,0.0,0.0,0.0,0.0,2.0
GER-Bundesliga,RB Leipzig,Elif Elmas,MKD,25-237,2,44,1,2,79.7,52.0,0.4,9.0,17.0,29.0
GER-Bundesliga,RB Leipzig,Elif Elmas,MKD,25-237,12,941,1,2,81.3,0.0,0.0,0.0,0.0,2.0
GER-Bundesliga,RB Leipzig,Elif Elmas,MKD,25-237,12,941,1,2,79.7,52.0,0.4,9.0,17.0,29.0
GER-Bundesliga,RB Leipzig,Kevin Kampl,SVN,34-222,26,1593,18,25,89.0,62.7,1.4,16.0,81.0,106.0
GER-Bundesliga,RB Leipzig,Xaver Schlager,AUT,27-233,4,181,2,7,86.7,40.0,0.7,1.0,6.0,6.0
GER-Bundesliga,RB Leipzig,Xavi Simons,NED,22-028,25,2150,21,19,78.6,55.1,6.3,51.0,79.0,140.0
GER-Bundesliga,St. Pauli,Carlo Boukhalfa,MAR,26-016,25,1646,11,22,71.3,29.2,1.1,11.0,27.0,41.0
GER-Bundesliga,St. Pauli,Jackson Irvine,AUS,32-073,29,2610,28,27,70.6,48.6,3.9,32.0,93.0,117.0
GER-Bundesliga,St. Pauli,Robert Wagner,GER,21-309,12,407,3,8,75.4,50.0,0.0,0.0,6.0,10.0
GER-Bundesliga,Stuttgart,Angelo Stiller,GER,24-045,32,2741,27,29,87.4,61.2,7.2,59.0,271.0,289.0
GER-Bundesliga,Stuttgart,Nikolas Nartey,DEN,25-086,1,22,0,0,80.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,Stuttgart,Yannik Keitel,GER,25-093,11,270,6,5,82.1,56.3,0.0,1.0,17.0,11.0
GER-Bundesliga,Union Berlin,Aljoscha Kemlein,GER,20-290,15,922,4,14,75.5,62.5,0.6,10.0,28.0,42.0
GER-Bundesliga,Union Berlin,András Schäfer,HUN,26-036,26,1534,26,33,73.5,39.4,0.9,10.0,30.0,55.0
GER-Bundesliga,Union Berlin,Lucas Tousart,FRA,28-020,15,561,9,11,66.7,37.5,0.5,3.0,7.0,18.0
GER-Bundesliga,Union Berlin,Rani Khedira,GER,31-112,32,2723,40,33,73.7,38.8,0.6,12.0,66.0,80.0
GER-Bundesliga,Werder Bremen,Jens Stage,DEN,28-192,28,2204,30,44,77.0,55.5,2.8,23.0,67.0,104.0
GER-Bundesliga,Werder Bremen,Leonardo Bittencourt,GER,31-151,27,982,9,8,84.0,59.2,1.6,14.0,56.0,64.0
GER-Bundesliga,Werder Bremen,Romano Schmid,AUT,25-112,32,2834,25,42,74.5,54.4,6.2,68.0,170.0,279.0
GER-Bundesliga,Werder Bremen,Senne Lynen,BEL,26-089,32,2733,39,56,82.9,56.9,0.6,8.0,81.0,91.0
